x	y	g	gxx	gyy	gzz	gxy	gxz	gyz	
3.5	46.5	-0.291239	-0.0545067	0.0142048	0.0403019	-0.989223	-1.10475	1.11752	
3.5	47.5	-0.280231	-0.0362082	-0.0328929	0.069101	-0.970459	-1.03972	1.08396	
3.5	48.5	-0.269562	-0.0188563	-0.0760455	0.0949017	-0.950104	-0.978016	1.04979	
3.5	49.5	-0.259236	-0.00249178	-0.115398	0.11789	-0.928433	-0.919565	1.01529	
3.5	50.5	-0.249256	0.0128612	-0.151114	0.138253	-0.905704	-0.864281	0.980681	
3.5	51.5	-0.239622	0.0271931	-0.183369	0.156176	-0.882147	-0.812062	0.946174	
3.5	52.5	-0.230332	0.0405068	-0.212347	0.17184	-0.857976	-0.7628	0.911942	
3.5	53.5	-0.221382	0.0528151	-0.238236	0.185421	-0.833378	-0.716379	0.878137	
3.5	54.5	-0.212767	0.0641396	-0.261229	0.19709	-0.808523	-0.672679	0.844883	
3.5	55.5	-0.204482	0.0745083	-0.281515	0.207006	-0.78356	-0.631576	0.812285	
3.5	56.5	-0.196519	0.0839548	-0.29928	0.215325	-0.75862	-0.592946	0.780429	
3.5	57.5	-0.188871	0.0925166	-0.314707	0.22219	-0.733817	-0.556665	0.749383	
3.5	58.5	-0.181529	0.100234	-0.327972	0.227738	-0.70925	-0.52261	0.719199	
3.5	59.5	-0.174484	0.10715	-0.339245	0.232095	-0.685004	-0.490663	0.689919	
3.5	60.5	-0.167727	0.113307	-0.348686	0.235379	-0.661149	-0.460704	0.661569	
3.5	61.5	-0.161249	0.118749	-0.35645	0.237701	-0.637746	-0.432623	0.634169	
3.5	62.5	-0.15504	0.123521	-0.362681	0.23916	-0.614843	-0.406308	0.607727	
3.5	63.5	-0.149091	0.127666	-0.367516	0.239851	-0.592481	-0.381655	0.582245	
3.5	64.5	-0.143392	0.131226	-0.371083	0.239858	-0.57069	-0.358565	0.557719	
3.5	65.5	-0.137934	0.134242	-0.373502	0.23926	-0.549494	-0.336941	0.53414	
3.5	66.5	-0.132707	0.136754	-0.374883	0.238129	-0.528911	-0.316692	0.511492	
3.5	67.5	-0.127701	0.138801	-0.37533	0.236529	-0.508953	-0.297733	0.48976	
3.5	68.5	-0.122908	0.140419	-0.374939	0.23452	-0.489625	-0.279981	0.468921	
3.5	69.5	-0.11832	0.141643	-0.373799	0.232156	-0.470931	-0.26336	0.448953	
4.5	0.5	-0.448468	0.0663949	0.709301	-0.775696	1.08493	-2.06415	-1.53216	
